# Input parameters: collectdata.py Namespace(channels=[1], config=None, debug=False, gnuplot=True, outfile=None, sleep=[0.25], type=None)
# Datetime		
'2016-04-02 16:06:23.68'	218
'2016-04-02 16:06:23.93'	218
'2016-04-02 16:06:24.19'	219
'2016-04-02 16:06:24.82'	219
'2016-04-02 16:06:25.08'	219
'2016-04-02 16:06:25.73'	218
'2016-04-02 16:06:25.98'	219
'2016-04-02 16:06:26.23'	219
'2016-04-02 16:06:26.94'	221
'2016-04-02 16:06:27.19'	219
'2016-04-02 16:06:27.84'	217
'2016-04-02 16:06:28.09'	219
'2016-04-02 16:06:28.73'	219
'2016-04-02 16:06:28.99'	219
'2016-04-02 16:06:29.24'	217
'2016-04-02 16:06:29.88'	218
'2016-04-02 16:06:30.14'	217
'2016-04-02 16:06:30.78'	219
'2016-04-02 16:06:31.03'	218
'2016-04-02 16:06:31.68'	218
'2016-04-02 16:06:31.93'	218
'2016-04-02 16:06:32.18'	218
'2016-04-02 16:06:32.82'	218
'2016-04-02 16:06:33.07'	218
'2016-04-02 16:06:33.72'	218
'2016-04-02 16:06:33.97'	218
'2016-04-02 16:06:34.23'	219
'2016-04-02 16:06:34.86'	218
'2016-04-02 16:06:35.12'	218
'2016-04-02 16:06:35.76'	218
'2016-04-02 16:06:36.01'	219
'2016-04-02 16:06:36.65'	219
'2016-04-02 16:06:36.90'	219
'2016-04-02 16:06:37.16'	219
'2016-04-02 16:06:37.81'	219
'2016-04-02 16:06:38.06'	218
'2016-04-02 16:06:38.70'	218
'2016-04-02 16:06:38.96'	219
'2016-04-02 16:06:39.21'	219
'2016-04-02 16:06:39.86'	218
'2016-04-02 16:06:40.12'	218
'2016-04-02 16:06:40.75'	218
'2016-04-02 16:06:41.01'	218
'2016-04-02 16:06:41.66'	219
'2016-04-02 16:06:41.91'	219
'2016-04-02 16:06:42.17'	218
'2016-04-02 16:06:42.80'	219
'2016-04-02 16:06:43.06'	219
'2016-04-02 16:06:43.70'	219
'2016-04-02 16:06:43.95'	218
'2016-04-02 16:06:44.21'	218
'2016-04-02 16:06:44.84'	218
'2016-04-02 16:06:45.10'	218
'2016-04-02 16:06:45.74'	218
'2016-04-02 16:06:45.00'	218
'2016-04-02 16:06:46.63'	219
'2016-04-02 16:06:46.89'	219
'2016-04-02 16:06:47.14'	219
'2016-04-02 16:06:47.78'	219
'2016-04-02 16:06:48.04'	219
'2016-04-02 16:06:48.67'	217
'2016-04-02 16:06:48.93'	218
'2016-04-02 16:06:49.18'	219
'2016-04-02 16:06:49.83'	219
'2016-04-02 16:06:50.08'	219
'2016-04-02 16:06:50.72'	219
'2016-04-02 16:06:50.98'	219
'2016-04-02 16:06:51.23'	219
'2016-04-02 16:06:51.88'	218
'2016-04-02 16:06:52.14'	219
'2016-04-02 16:06:52.77'	218
'2016-04-02 16:06:53.02'	218
'2016-04-02 16:06:53.68'	218
'2016-04-02 16:06:53.93'	219
'2016-04-02 16:06:54.18'	218
'2016-04-02 16:06:54.82'	219
'2016-04-02 16:06:55.07'	218
'2016-04-02 16:06:55.72'	219
'2016-04-02 16:06:55.97'	218
'2016-04-02 16:06:56.22'	219
'2016-04-02 16:06:56.86'	218
'2016-04-02 16:06:57.12'	219
'2016-04-02 16:06:57.77'	218
'2016-04-02 16:06:58.02'	218
'2016-04-02 16:06:58.66'	219
'2016-04-02 16:06:58.91'	218
'2016-04-02 16:06:59.16'	218
'2016-04-02 16:06:59.82'	219
'2016-04-02 16:07:00.07'	218
'2016-04-02 16:07:00.71'	218
'2016-04-02 16:07:00.97'	219
'2016-04-02 16:07:01.22'	219
'2016-04-02 16:07:01.89'	219
'2016-04-02 16:07:02.15'	219
'2016-04-02 16:07:02.79'	217
'2016-04-02 16:07:03.04'	218
'2016-04-02 16:07:03.69'	218
'2016-04-02 16:07:03.95'	218
'2016-04-02 16:07:04.20'	218
'2016-04-02 16:07:04.84'	219
'2016-04-02 16:07:05.09'	219
'2016-04-02 16:07:05.75'	219
'2016-04-02 16:07:06.00'	219
'2016-04-02 16:07:06.64'	219
'2016-04-02 16:07:06.89'	219
'2016-04-02 16:07:07.15'	219
'2016-04-02 16:07:07.79'	219
'2016-04-02 16:07:08.05'	219
'2016-04-02 16:07:08.69'	219
'2016-04-02 16:07:08.94'	219
'2016-04-02 16:07:09.20'	219
'2016-04-02 16:07:09.84'	219
'2016-04-02 16:07:10.09'	219
'2016-04-02 16:07:10.73'	219
'2016-04-02 16:07:10.98'	219
'2016-04-02 16:07:11.24'	219
'2016-04-02 16:07:11.88'	219
'2016-04-02 16:07:12.13'	219
'2016-04-02 16:07:12.77'	218
'2016-04-02 16:07:13.03'	219
'2016-04-02 16:07:13.67'	219
'2016-04-02 16:07:13.92'	219
'2016-04-02 16:07:14.18'	219
'2016-04-02 16:07:14.81'	219
'2016-04-02 16:07:15.07'	219
'2016-04-02 16:07:15.71'	220
'2016-04-02 16:07:15.96'	219
'2016-04-02 16:07:16.22'	219
'2016-04-02 16:07:16.86'	219
'2016-04-02 16:07:17.11'	219
'2016-04-02 16:07:17.76'	218
'2016-04-02 16:07:18.02'	220
'2016-04-02 16:07:18.65'	219
'2016-04-02 16:07:18.91'	220
'2016-04-02 16:07:19.16'	219
'2016-04-02 16:07:19.81'	219
'2016-04-02 16:07:20.06'	218
'2016-04-02 16:07:20.70'	219
'2016-04-02 16:07:20.96'	220
'2016-04-02 16:07:21.21'	220
'2016-04-02 16:07:21.86'	220
'2016-04-02 16:07:22.11'	219
'2016-04-02 16:07:22.75'	220
'2016-04-02 16:07:23.00'	220
'2016-04-02 16:07:23.65'	220
'2016-04-02 16:07:23.90'	220
'2016-04-02 16:07:24.16'	220
'2016-04-02 16:07:24.79'	220
'2016-04-02 16:07:25.05'	219
'2016-04-02 16:07:25.69'	220
'2016-04-02 16:07:25.95'	220
'2016-04-02 16:07:26.20'	220
'2016-04-02 16:07:26.88'	220
'2016-04-02 16:07:27.14'	220
'2016-04-02 16:07:27.78'	221
'2016-04-02 16:07:28.04'	221
'2016-04-02 16:07:28.67'	221
'2016-04-02 16:07:28.93'	221
'2016-04-02 16:07:29.18'	221
'2016-04-02 16:07:29.83'	221
'2016-04-02 16:07:30.08'	221
'2016-04-02 16:07:30.72'	221
'2016-04-02 16:07:30.97'	221
'2016-04-02 16:07:31.23'	220
'2016-04-02 16:07:31.87'	221
'2016-04-02 16:07:32.12'	222
'2016-04-02 16:07:32.77'	221
'2016-04-02 16:07:33.02'	221
'2016-04-02 16:07:33.67'	222
'2016-04-02 16:07:33.93'	221
'2016-04-02 16:07:34.18'	221
'2016-04-02 16:07:34.82'	222
'2016-04-02 16:07:35.07'	221
'2016-04-02 16:07:35.72'	222
'2016-04-02 16:07:35.97'	222
'2016-04-02 16:07:36.23'	222
'2016-04-02 16:07:36.86'	225
'2016-04-02 16:07:37.12'	222
'2016-04-02 16:07:37.76'	222
'2016-04-02 16:07:38.02'	222
'2016-04-02 16:07:38.66'	222
'2016-04-02 16:07:38.91'	222
'2016-04-02 16:07:39.17'	222
'2016-04-02 16:07:39.81'	223
'2016-04-02 16:07:40.07'	223
'2016-04-02 16:07:40.70'	223
'2016-04-02 16:07:40.96'	222
'2016-04-02 16:07:41.21'	223
'2016-04-02 16:07:41.86'	222
'2016-04-02 16:07:42.11'	223
'2016-04-02 16:07:42.75'	223
'2016-04-02 16:07:43.00'	223
'2016-04-02 16:07:43.64'	223
'2016-04-02 16:07:43.90'	223
'2016-04-02 16:07:44.15'	222
'2016-04-02 16:07:44.80'	223
'2016-04-02 16:07:45.05'	223
'2016-04-02 16:07:45.69'	223
